movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
197|14.625|8.0|2.5|73.0|466.0|430.5|470.0|467.5|10.0
198|4.082758620689655|290.0|7.5|104622.0|67.0|21.0|155.5|171.0|2.0
199|5.0|12.0|6.0|1569.0|144.0|403.5|362.0|444.0|4.0
200|12.0|4.0|7.0|1963.0|457.0|458.5|222.0|440.0|10.0
201|4.26984126984127|63.0|7.6|231337.0|85.0|189.5|141.0|78.0|2.0
202|2.877551020408163|98.0|7.7|185631.0|9.0|123.0|124.5|102.0|1.0
203|6.846153846153846|26.0|6.7|4886.0|327.0|309.0|261.0|413.0|7.0
204|4.658536585365853|82.0|3.6|7727.0|113.0|150.5|461.5|388.0|3.0
205|5.081081081081081|37.0|6.1|52707.0|157.0|267.5|350.0|250.0|4.0
206|5.730769230769231|26.0|6.3|41354.0|219.0|309.0|325.5|277.0|5.0
207|7.214285714285714|28.0|6.6|76523.0|350.5|297.0|276.5|198.0|8.0
208|3.25|20.0|7.1|53259.0|23.0|345.0|206.0|247.0|1.0
209|15.0|9.0|8.1|61264.0|468.0|422.0|85.0|231.0|10.0
210|4.708333333333333|24.0|7.3|78976.0|120.0|321.5|180.0|197.0|3.0
211|7.148148148148148|27.0|3.4|14527.0|345.0|303.5|463.5|362.0|8.0
212|9.0|15.0|7.5|47067.0|417.5|380.5|155.5|264.0|9.0
213|4.0|166.0|6.3|145424.0|59.0|54.0|325.5|128.0|2.0
214|5.2|60.0|6.5|24437.0|176.0|197.5|295.5|326.0|4.0
215|8.0|9.0|7.9|74730.0|386.0|422.0|105.0|205.0|9.0
216|6.188118811881188|404.0|8.1|279877.0|272.0|6.0|85.0|58.0|6.0
217|6.968253968253968|63.0|7.7|261649.0|332.0|189.5|124.5|66.0|8.0
218|15.0|5.0|4.9|1566.0|468.0|452.5|428.5|445.0|10.0
219|4.25|20.0|7.8|120262.0|81.0|345.0|112.5|153.0|2.0
220|6.0|55.0|7.6|132612.0|253.0|207.5|141.0|146.0|6.0
221|5.3977272727272725|88.0|5.4|33595.0|192.0|136.0|407.5|300.0|5.0
222|5.833333333333333|48.0|8.2|79232.0|237.0|229.0|65.0|196.0|6.0
223|3.574074074074074|108.0|8.0|235532.0|35.0|114.0|97.5|75.0|1.0
224|4.816326530612245|49.0|6.9|23888.0|132.0|225.5|234.0|329.0|3.0
225|3.466666666666667|60.0|7.2|119904.0|31.0|197.5|193.5|154.0|1.0
226|9.761904761904763|21.0|7.0|18636.0|438.0|338.5|222.0|346.0|10.0
227|9.5|14.0|6.5|9455.0|433.5|388.0|295.5|381.0|10.0
228|9.0|14.0|6.3|7956.0|417.5|388.0|325.5|384.0|9.0
229|6.361702127659575|47.0|6.0|20137.0|285.0|232.5|362.0|339.0|7.0
230|4.88|25.0|7.0|18830.0|139.0|313.5|222.0|345.0|3.0
231|4.697916666666667|288.0|8.2|368090.0|118.0|22.0|65.0|33.0|3.0
232|5.503311258278146|151.0|8.5|143783.0|203.0|69.5|25.5|130.0|5.0
233|3.675675675675676|111.0|7.8|153208.0|39.0|110.5|112.5|126.0|1.0
234|2.433333333333333|90.0|7.7|253856.0|3.0|133.5|124.5|69.0|1.0
235|4.321428571428571|84.0|6.8|163444.0|89.0|143.0|246.5|119.0|2.0
236|3.327683615819209|177.0|6.3|181569.0|27.0|51.0|325.5|107.0|1.0
237|5.185185185185185|27.0|7.0|29414.0|175.0|303.5|222.0|312.0|4.0
238|9.375|24.0|8.7|135522.0|430.0|321.5|10.0|143.0|10.0
239|6.673913043478261|46.0|5.1|22544.0|310.0|237.0|419.5|332.0|7.0
240|5.7611940298507465|67.0|4.9|3470.0|225.0|181.5|428.5|427.0|5.0
241|5.425531914893617|47.0|7.0|55284.0|195.0|232.5|222.0|244.0|5.0
242|4.714285714285714|49.0|6.6|70139.0|122.0|225.5|276.5|213.0|3.0
243|6.333333333333333|3.0|3.8|54.0|283.0|464.0|456.0|470.0|6.0
244|4.533333333333333|105.0|8.3|288599.0|102.0|116.0|48.0|55.0|3.0
245|6.516129032258065|31.0|6.8|26874.0|297.0|286.5|246.5|319.0|7.0
246|5.4|20.0|6.1|31457.0|193.0|345.0|350.0|308.0|5.0
247|7.166666666666667|6.0|6.5|5323.0|347.0|445.5|295.5|409.0|8.0
248|6.3076923076923075|13.0|3.8|833.0|281.0|397.0|456.0|450.0|6.0
249|10.625|8.0|3.6|629.0|443.0|430.5|461.5|457.0|10.0
250|9.857142857142858|21.0|3.4|4380.0|439.0|338.5|463.5|419.0|10.0
251|6.56|50.0|6.1|28472.0|301.0|221.0|350.0|316.0|7.0
252|2.980392156862745|51.0|8.2|187161.0|11.0|218.5|65.0|99.0|1.0
253|5.442105263157894|95.0|7.0|67870.0|198.0|128.5|222.0|219.0|5.0
254|5.033333333333333|60.0|7.2|276084.0|149.0|197.5|193.5|59.0|4.0
255|5.0311111111111115|225.0|8.6|249801.0|148.0|32.0|15.5|70.0|4.0
256|3.5526315789473686|190.0|6.7|207588.0|33.0|44.0|261.0|89.0|1.0
257|9.071428571428571|14.0|6.4|6887.0|423.0|388.0|310.5|395.0|9.0
258|5.976470588235294|85.0|8.3|149374.0|249.0|140.5|48.0|127.0|6.0
