movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
50|6.2|339.0|4.846153846153846|13.0|397.0|16477.0|353.0
51|6.5|295.5|8.235294117647058|34.0|281.0|18548.0|348.0
52|7.1|206.0|8.75|12.0|403.5|6491.0|400.0
53|7.7|124.5|4.534351145038168|131.0|94.5|191701.0|98.0
54|6.5|295.5|9.625|24.0|321.5|28526.0|315.0
55|8.1|85.0|5.24375|160.0|60.5|343313.0|37.0
56|8.3|48.0|3.28125|96.0|127.0|302995.0|48.0
57|7.7|124.5|4.875|8.0|430.5|47099.0|263.0
58|6.3|325.5|8.0|18.0|359.5|25491.0|324.0
59|5.5|401.5|10.954545454545455|22.0|333.0|6700.0|398.0
60|7.1|206.0|6.837837837837838|37.0|267.5|117724.0|157.0
61|7.1|206.0|4.818181818181818|33.0|283.5|52640.0|251.0
62|5.7|389.0|8.714285714285714|7.0|438.0|4385.0|418.0
63|8.4|37.5|4.237179487179487|312.0|16.0|445466.0|19.0
64|4.3|446.0|8.357142857142858|14.0|388.0|1975.0|439.0
65|6.8|246.5|8.866666666666667|15.0|380.5|41892.0|276.0
66|6.6|276.5|6.166666666666667|6.0|445.5|5627.0|408.0
67|7.0|222.0|6.115384615384615|26.0|309.0|169646.0|113.0
68|7.3|180.0|6.8|35.0|277.5|88385.0|187.0
69|6.8|246.5|3.0930232558139537|129.0|99.5|223930.0|82.0
70|8.2|65.0|6.431506849315069|146.0|75.5|199729.0|94.0
71|7.9|105.0|4.680555555555555|144.0|78.0|281943.0|57.0
72|4.9|428.5|5.733333333333333|30.0|289.5|5748.0|407.0
73|5.1|419.5|6.066666666666666|15.0|380.5|32354.0|304.0
74|7.8|112.5|4.725|40.0|257.5|141411.0|135.0
75|8.4|37.5|5.91044776119403|67.0|181.5|136155.0|142.0
76|7.9|105.0|3.9722222222222223|36.0|273.0|106368.0|167.0
77|8.6|15.5|6.822222222222222|45.0|240.5|57282.0|239.0
78|6.6|276.5|5.487179487179487|39.0|261.5|31393.0|310.0
79|7.6|141.0|11.8|10.0|413.5|39529.0|286.0
80|6.7|261.0|3.980769230769231|52.0|216.0|127118.0|149.0
81|5.1|419.5|7.170212765957447|47.0|232.5|24403.0|327.0
82|4.1|451.5|7.857142857142857|21.0|338.5|2550.0|434.0
83|7.9|105.0|3.43801652892562|121.0|104.0|271987.0|64.0
84|5.2|415.0|7.857142857142857|14.0|388.0|730.0|453.0
85|3.0|467.0|6.714285714285714|28.0|297.0|27898.0|318.0
86|4.9|428.5|7.538461538461538|13.0|397.0|20447.0|338.0
87|5.6|395.5|6.545454545454546|11.0|407.5|2482.0|435.0
88|8.4|37.5|7.8|150.0|71.5|109986.0|166.0
89|4.8|434.0|11.75|4.0|458.5|128.0|465.0
90|7.3|180.0|7.88|25.0|313.5|19880.0|340.0
91|4.4|442.5|9.125|16.0|374.0|3061.0|429.0
92|6.4|310.5|6.297297297297297|37.0|267.5|112258.0|163.0
93|8.2|65.0|6.638297872340425|47.0|232.5|59681.0|234.0
94|8.5|25.5|5.118367346938776|245.0|27.0|372568.0|31.0
95|6.0|362.0|7.45|20.0|345.0|12949.0|369.0
96|8.3|48.0|6.646464646464646|99.0|121.0|155643.0|124.0
97|6.7|261.0|7.4|10.0|413.5|11540.0|371.0
98|7.7|124.5|3.5535714285714284|56.0|206.0|138305.0|139.0
99|5.8|383.5|8.875|8.0|430.5|3502.0|426.0
